Gene,overall_primate,class_primate,subtype_primate,meta-cluster_primate,overall_human_NHP,class_human_NHP,subtype_human_NHP,meta-cluster_human_NHP
MGP,0.973503185,0.958531493,0.873655343,0.631818825,0.987800778,0.936478238,0.829246285,0.609514331
MGST1,0.941008493,0.828834041,0.826749823,0.725674098,0.962269993,0.823681883,0.754918613,0.73542109
MGST2,0.949444444,0.950353857,0.857261146,0.942388535,0.979051663,0.94094126,0.925486553,0.932183298
MGST3,0.964154282,0.954465676,0.959315287,0.926291578,0.955192852,0.952680467,0.977543347,0.894373673
MIA,0.540205237,0.602238146,0.533098018,0.726185421,0.53995046,0.578445683,0.705511323,0.740454706
MIA3,0.844978769,0.787530078,0.865116773,0.795047771,0.719240977,0.75648443,0.809425867,0.717091295
MIB1,0.930467091,0.772790163,0.815697098,0.814656759,0.947346072,0.794117127,0.914720453,0.855728061
MIB2,0.923407643,0.525835103,0.628299717,0.623858811,0.911500354,0.651194268,0.772788393,0.757559271
MICAL1,0.910088464,0.940585633,0.971280962,0.894099434,0.918480184,0.926428698,0.975557325,0.961495931
MICAL3,0.85908351,0.974294055,0.9375,0.807209837,0.917949398,0.969316171,0.971439314,0.854865534
MICALL1,0.995774947,0.999787686,0.994292286,0.808963199,0.995983723,0.999823071,0.98858811,0.875769639
MICALL2,0.740152159,0.978271408,0.997158528,0.955334395,0.835138004,0.996408351,0.999716914,0.970227353
MICU1,0.997569002,0.992820241,0.960313163,0.998400566,0.996364119,0.986332272,0.989729299,0.996779901
MICU2,0.995813871,0.989409059,0.990357396,0.918013093,0.998248408,0.995178698,0.99680644,0.893121904
MICU3,0.979462137,0.988303255,0.934669144,0.940684713,0.980033616,0.978405874,0.913424452,0.930029193
MID1,0.983623496,0.993584572,0.998467799,0.973289101,0.9867569,0.999920382,0.998425336,0.995090234
MID1IP1,0.962933475,0.984451522,0.989000354,0.990835103,0.974708068,0.998779193,0.999566525,0.999867304
MID2,0.998966737,0.999865534,0.999769993,0.999723992,0.99987615,0.999991154,1,0.999946921
MIDN,0.996624204,0.99022293,0.984838995,0.829644374,0.998283793,0.995736023,0.999265747,0.956157113
MIEF1,0.756666667,0.831841826,0.883287332,0.76952937,0.825265393,0.935040694,0.930975761,0.849004777
MIEN1,0.660410474,0.496394197,0.697292994,0.737498231,0.647859165,0.490658174,0.675296355,0.63138712
MIER1,0.99418259,0.95908351,0.875861642,0.853957891,0.995143312,0.968307679,0.790516631,0.905400743
MIER2,0.808259023,0.665679406,0.61346426,0.662338995,0.688030786,0.747403574,0.834633758,0.835403397
