Gene,overall_primate,class_primate,subtype_primate,meta-cluster_primate,overall_human_NHP,class_human_NHP,subtype_human_NHP,meta-cluster_human_NHP
A1BG,0.757622081,0.671725053,0.657813163,0.679547063,0.843232484,0.897323956,0.818095364,0.779162243
A1CF,0.596744515,0.549704529,0.599589526,0.474708068,0.673478415,0.554445329,0.754104742,0.514185244
A2ML1,0.835442321,0.873393489,0.898002477,0.717708776,0.876318117,0.805126504,0.847487615,0.725115004
A3GALT2,0.701323425,0.4610138,0.374973461,0.467254069,0.827786624,0.579087049,0.437504423,0.425300778
A4GALT,0.786525124,0.772089526,0.772257608,0.645040694,0.829892074,0.554909766,0.630241507,0.601167728
A4GNT,0.523648266,0.570652866,0.643789809,0.57670913,0.624044586,0.687146143,0.627928167,0.709642604
AAAS,0.852353149,0.838386412,0.816956829,0.708384643,0.919559448,0.936482661,0.946947983,0.888565994
AACS,0.999624912,0.971946214,0.905751946,0.751749823,0.999619604,0.970572364,0.879277247,0.870267162
AADACL2,0.506125265,0.565872258,0.713055556,0.552126681,0.550061925,0.70367569,0.733581033,0.622169144
AADACL3,0.581323425,0.575237084,0.62126327,0.785005308,0.591472045,0.808797771,0.7745046,0.850880219
AADACL4,0.48566879,0.586268577,0.608190021,0.417508846,0.564012739,0.537889243,0.49581564,0.363747346
AADAT,0.982689314,0.999168436,0.959539986,0.963443029,0.99131281,0.99829264,0.964362173,0.922991861
AAGAB,0.96972753,0.968255485,0.951900212,0.925806794,0.975521939,0.988906582,0.957262916,0.950893489
AAK1,0.999819533,0.999561217,0.993006016,0.977981246,0.999911536,0.999778839,0.997133758,0.994019816
AAMDC,0.654111819,0.773869427,0.838987969,0.833658882,0.821726822,0.969311748,0.982607926,0.896293347
AAMP,0.75982661,0.487561925,0.526118188,0.467015216,0.780352088,0.411557856,0.446390658,0.303503185
AANAT,0.857374381,0.820125619,0.910040694,0.733333333,0.917604388,0.898447452,0.933213907,0.777291224
AAR2,0.940672328,0.979915074,0.938124558,0.767100142,0.976468507,0.999336518,0.997531847,0.919276362
AARD,0.779709837,0.74138535,0.809447983,0.944794763,0.851070418,0.800915605,0.890728946,0.971717976
AARS2,0.92928167,0.720640481,0.795111465,0.891693206,0.950858103,0.861615357,0.977207183,0.97633581
AASDH,0.990736023,0.978251946,0.981178344,0.777176221,0.992055909,0.948549186,0.957139066,0.634341826
AASDHPPT,0.62569356,0.703851734,0.684345364,0.717613234,0.69178167,0.808939314,0.741750708,0.848628804
AASS,0.999317056,0.996840057,0.939867304,0.745559094,0.998938429,0.995205237,0.912199222,0.830458245
AATF,0.847975938,0.772937013,0.855058386,0.940463553,0.970550248,0.996266808,0.999141897,0.997120488
AATK,0.976903751,0.995633404,0.832381458,0.93683121,0.992312456,0.999513447,0.894148089,0.970156582
ABCA1,0.992512385,0.996726822,0.993577495,0.954223284,0.99646143,0.997381458,0.999964614,0.932837933
ABCA10,0.929228592,0.946548125,0.941970984,0.887162067,0.982404459,0.991525124,0.981537509,0.960067233
ABCA12,0.898124558,0.976105803,0.969400212,0.908147558,0.934872611,0.995943914,0.995169851,0.984624912
ABCA13,0.619076433,0.615129158,0.585612173,0.580583864,0.701096957,0.63886235,0.618586341,0.51532201
ABCA2,0.998457183,0.967085987,0.892593772,0.620688252,0.998770347,0.997080679,0.966613588,0.766582626
ABCA4,0.74032201,0.840670559,0.892696391,0.726422505,0.680440552,0.91836518,0.978857042,0.825035386
ABCA5,0.995707714,0.996096957,0.995895258,0.902625619,0.998956122,0.996081033,0.996328733,0.994683298
ABCA6,0.954670913,0.949000354,0.859890304,0.901526893,0.990675867,0.991472045,0.887902512,0.953131635
ABCA7,0.973347488,0.868524416,0.834463907,0.904026893,0.989791224,0.919612527,0.899964614,0.977025832
ABCA8,0.991914367,0.764808917,0.890038924,0.438002477,0.994683298,0.877760085,0.93711518,0.623456299
ABCB1,0.998595188,0.99995046,0.999440906,0.958161713,0.999177282,1,0.999964614,0.966082803
ABCB10,0.971291578,0.858995046,0.921394197,0.918510262,0.984483369,0.983275832,0.99547063,0.983306794
ABCB11,0.663740269,0.727284147,0.607489384,0.539980538,0.769373673,0.887990977,0.840224699,0.699575372
ABCB4,0.949518754,0.972620311,0.963430644,0.62123673,0.964490446,0.999097665,0.986818825,0.896625088
ABCB5,0.999893843,0.878648266,0.780086695,0.9307431,0.999911536,0.895107926,0.791542817,0.925030962
ABCB6,0.722883935,0.681381812,0.614359519,0.523752654,0.820868719,0.89373673,0.798655343,0.589225053
ABCB7,0.890934183,0.901652512,0.973278485,0.994474522,0.906705591,0.963322718,0.971107573,0.995125619
ABCB8,0.87534678,0.735553786,0.643198868,0.70381281,0.938163482,0.835279547,0.721257962,0.809492215
ABCB9,0.98992569,0.992760085,0.998428875,0.999451522,0.986969214,0.983864119,0.996824133,0.999884996
ABCC10,0.963128096,0.81606511,0.836201345,0.732565464,0.970337933,0.746302194,0.807926398,0.761451699
ABCC2,0.511224345,0.570375088,0.727928167,0.551864827,0.421824133,0.604498408,0.604449752,0.726698514
ABCC3,0.994493984,0.999985846,0.984897381,0.993432413,0.996054494,0.999991154,0.999194975,0.999716914
ABCC4,0.782409766,0.847977707,0.951928521,0.966134112,0.844745223,0.930568825,0.994877919,0.994170205
ABCC5,0.979773531,0.842917551,0.870205237,0.926466737,0.992312456,0.850774062,0.952600849,0.965083156
ABCC8,0.992303609,0.990564402,0.982905166,0.953140481,0.986075725,0.984992038,0.984695683,0.936748054
ABCD1,0.786401274,0.754515216,0.665028309,0.551006723,0.836456122,0.670948337,0.60342799,0.338574841
ABCD2,0.99472753,0.993719038,0.985937721,0.785912951,0.989746992,0.988013093,0.993550955,0.914755839
ABCD3,0.967480538,0.861417197,0.877668082,0.841802902,0.985651097,0.949606334,0.964114473,0.916993984
ABCD4,0.671026185,0.86893666,0.901489738,0.858025478,0.691242038,0.885177813,0.86826787,0.851857749
ABCE1,0.890219391,0.927745931,0.920086695,0.783253715,0.918276716,0.99116242,0.952592003,0.93334218
ABCF1,0.63054494,0.520157466,0.533618188,0.654283439,0.732696391,0.648894197,0.645820064,0.720262739
ABCF2,0.89138712,0.736380042,0.70235138,0.784667374,0.964552371,0.871019108,0.914808917,0.917369958
ABCF3,0.937416844,0.882108988,0.870267162,0.817446921,0.93653574,0.866370311,0.829299363,0.946142958
ABCG1,0.99529724,0.999292286,0.973106865,0.857726469,0.999796532,0.999823071,0.984651451,0.825256546
ABCG2,0.998765039,0.969840764,0.976293347,0.536604742,0.999106511,0.966609165,0.98653574,0.664401982
ABCG4,0.998772116,0.997898089,0.980306086,0.872307148,0.999522293,0.995258316,0.955232661,0.936876327
ABCG5,0.870021231,0.732413305,0.632176221,0.613954352,0.92732661,0.945444091,0.886686129,0.869922151
ABCG8,0.893195329,0.792864473,0.780284855,0.793674805,0.861367657,0.659368365,0.728171444,0.757979476
ABHD1,0.66079264,0.730389243,0.771728592,0.656418967,0.569285209,0.758895081,0.80969126,0.786491507
ABHD10,0.913545648,0.909922151,0.881978061,0.730713022,0.964516985,0.987862703,0.98861465,0.840056617
ABHD11,0.869426752,0.88626327,0.888381104,0.817965322,0.873443029,0.967086872,0.953326256,0.974495754
ABHD12,0.981985138,0.914706299,0.984723992,0.809869073,0.981466737,0.987530962,0.994771762,0.899522293
ABHD12B,0.985831564,0.97069356,0.935031847,0.96329087,0.990428167,0.956325195,0.893285563,0.980785563
ABHD13,0.876196037,0.901503892,0.928979122,0.831155343,0.891383581,0.843285563,0.942210722,0.762477884
ABHD14B,0.520506016,0.60858988,0.602738854,0.789419674,0.685023001,0.760270701,0.771841826,0.906564048
ABHD15,0.67054494,0.661240269,0.72838995,0.792395612,0.779564756,0.761181883,0.8497523,0.944948691
ABHD16A,0.61955414,0.570385704,0.632645081,0.505185775,0.597682236,0.622142604,0.610748408,0.534731069
ABHD17A,0.843057325,0.742956476,0.841703822,0.607728238,0.920426398,0.913919851,0.930608634,0.776380042
ABHD17B,0.994317056,0.998673036,0.962659236,0.967469922,0.994621373,0.998858811,0.992215145,0.98504954
ABHD17C,0.827052371,0.943457183,0.974734607,0.933952583,0.811765747,0.943798655,0.98185598,0.93933121
ABHD2,0.997547771,0.976174805,0.986889597,0.978393489,0.999194975,0.999071125,0.998929582,0.999318825
ABHD3,0.823701345,0.919545294,0.968802194,0.878536801,0.942294763,0.901450814,0.960031847,0.937703468
ABHD4,0.926472045,0.899439137,0.865437013,0.683363411,0.951468507,0.983828733,0.94522293,0.776910828
ABHD5,0.829762916,0.810983723,0.895221161,0.897255839,0.905705945,0.844103857,0.985460899,0.899734607
ABHD6,0.996033263,0.999716914,0.999111819,0.936532201,0.998301486,0.999929229,0.999778839,0.92133758
ABHD8,0.995923567,0.996542817,0.98547063,0.846668436,0.999513447,0.999831918,0.998903043,0.969877919
ABI1,0.989090587,0.994065817,0.97532201,0.911523355,0.995249469,1,0.999964614,0.981537509
ABI2,0.999688606,0.999904459,0.99955414,0.944630219,0.999389597,0.999778839,0.999283439,0.96139862
ABI3,0.997271762,0.999012739,0.978326256,0.799656759,0.997638004,0.998903043,0.975070771,0.734576256
ABI3BP,0.788170559,0.763197098,0.818512031,0.870652866,0.815888181,0.752662774,0.767613234,0.8262385
ABL1,0.998481953,0.999731069,0.998457183,0.960992569,0.998142251,0.999796532,0.997611465,0.992763623
ABL2,0.962183298,0.99190552,0.992140835,0.975746638,0.965383935,0.988911005,0.982882166,0.988269639
ABLIM1,0.991627742,0.999883227,0.999946921,0.99995046,0.997717622,0.99987615,0.999991154,1
ABLIM2,0.952494692,0.998030786,0.998071479,0.983294409,0.963499646,0.996717976,0.999106511,0.983430644
ABLIM3,0.981401274,0.999759377,0.996525124,0.928287332,0.997169144,0.999938075,0.999248054,0.975707714
ABO,0.750799717,0.727347841,0.662165605,0.610253008,0.85843949,0.862159413,0.805825372,0.742688429
ABR,0.984447983,0.999681529,0.989945152,0.978899505,0.990826256,0.999531139,0.999575372,0.990640481
ABRA,0.955424628,0.95252477,0.96217799,0.740447629,0.908704883,0.916914367,0.931586164,0.838924275
ABRACL,0.982997169,0.994909766,0.995486553,0.998803963,0.991454352,0.988428875,0.989194091,0.999920382
ABT1,0.835056617,0.718023708,0.754872611,0.747577849,0.819090587,0.713911005,0.75809448,0.695519285
ABTB1,0.981284501,0.996666667,0.990130927,0.998227176,0.97844126,0.99534678,0.995046001,0.997983015
ABTB2,0.995605096,0.99905874,0.915210545,0.8554954,0.998009554,0.999991154,0.984302017,0.965145081
ACAA1,0.918740269,0.973430644,0.929962845,0.797241684,0.966268577,0.99754954,0.990498938,0.876344657
ACAA2,0.93641189,0.965212314,0.813303255,0.704483369,0.976123496,0.985155697,0.867653043,0.870430821
ACACA,0.990962491,0.997526539,0.998308563,0.993036093,0.998354565,0.999557679,0.998655343,0.999796532
ACACB,0.998510262,0.992432767,0.974391366,0.832018754,0.999557679,0.987875973,0.995753715,0.967095718
ACAD10,0.812296532,0.939095895,0.938940198,0.937570771,0.58027247,0.924893843,0.874217091,0.972469922
ACAD11,0.542951168,0.572131989,0.529989384,0.467721161,0.35,0.398089172,0.442551309,0.430502477
ACAD8,0.992105449,0.938871196,0.936808209,0.888076787,0.995143312,0.974938075,0.948394374,0.949265747
ACAD9,0.969469214,0.93128627,0.94702937,0.882860934,0.980290163,0.952649505,0.931962137,0.834731069
ACADL,0.978906582,0.993632343,0.928287332,0.936397735,0.995921798,0.999708068,0.963543878,0.992993631
ACADM,0.811068648,0.94420913,0.894787686,0.855739561,0.767852088,0.941135881,0.830904989,0.734421444
ACADS,0.920251238,0.981618896,0.896280962,0.833322718,0.930670559,0.959240092,0.834014508,0.745873142
ACADSB,0.885385704,0.916107573,0.869290517,0.813126327,0.960456476,0.989309094,0.922319533,0.862314225
ACADVL,0.994055202,0.991901982,0.996528662,0.865513093,0.993842887,0.992356688,0.999203822,0.965967799
ACAN,0.98905874,0.995675867,0.99002477,0.77898443,0.992622081,0.999575372,0.990268931,0.923186483
ACAP1,0.803159943,0.906052725,0.943331564,0.716134112,0.893754423,0.962880396,0.942666313,0.702919321
ACAP2,0.996878981,0.999964614,0.999373673,0.982406228,0.999929229,1,0.999522293,0.97487615
ACAP3,0.999596603,0.999600142,0.999451522,0.961380042,0.999000354,0.999654989,0.999725761,0.942453999
ACAT1,0.717678698,0.762609696,0.85834041,0.78794586,0.688420028,0.666852442,0.768316525,0.648964968
ACAT2,0.977427459,0.99913305,0.992445152,0.92841649,0.996142958,0.999867304,0.998398797,0.995125619
ACBD3,0.849409059,0.92106511,0.964580679,0.838462491,0.922434536,0.978361642,0.995063694,0.840052194
ACBD4,0.987197452,0.995438783,0.980398089,0.89851557,0.995736023,0.998283793,0.972430113,0.896094303
ACBD5,0.923591649,0.898876504,0.951068648,0.971755131,0.951247346,0.91778574,0.97071833,0.998611111
ACBD6,0.94561925,0.973336872,0.96938075,0.979288747,0.964861996,0.99128627,0.9454839,0.995682944
ACBD7,0.997020524,0.808237792,0.633273178,0.639216207,0.997584926,0.946120842,0.848447452,0.821877212
ACCS,0.894536447,0.874078202,0.852193914,0.76047063,0.944002123,0.942989207,0.93420913,0.879095895
ACCSL,0.786305732,0.717537155,0.689978769,0.634138358,0.846664897,0.681480007,0.571877212,0.779467445
ACE,0.921326964,0.784711607,0.824892074,0.736877212,0.977335456,0.95660828,0.982806971,0.843988854
ACE2,0.426493277,0.52341649,0.424585987,0.495203468,0.601866596,0.780184006,0.596054494,0.523863234
ACER1,0.964214437,0.932262916,0.926208422,0.968000708,0.974787686,0.894466561,0.878472222,0.976574664
ACER2,0.99366242,0.99990092,0.997961783,0.933234253,0.996426044,0.999902689,0.9997523,0.985757254
ACER3,0.970852795,0.980808563,0.943945506,0.964803609,0.973920736,0.991047417,0.987765393,0.942427459
ACHE,0.999585987,0.996047417,0.998379335,0.999996461,0.999150743,0.998522647,0.999769993,0.999991154
ACIN1,0.978177636,0.942659236,0.922538924,0.908796886,0.9879954,0.964401982,0.990012385,0.894152512
ACKR1,0.904511677,0.989440906,0.908013093,0.873092711,0.8995046,0.996939137,0.993807502,0.975044232
ACKR2,0.721917905,0.693048478,0.714092357,0.619808917,0.788605803,0.795156582,0.815078733,0.74215322
ACKR3,0.984055202,0.997983015,0.998145789,0.81170736,0.979635527,0.997726469,0.997151451,0.776141189
ACKR4,0.823895966,0.773437721,0.752864473,0.608112173,0.841224345,0.845621019,0.74033528,0.461230538
ACLY,0.945463553,0.977657466,0.943368719,0.785812102,0.956581741,0.996824133,0.989322364,0.895523708
ACMSD,0.802781316,0.582740623,0.56596426,0.598685421,0.878768577,0.688278485,0.749398443,0.757077141
ACO1,0.972487615,0.991302194,0.973090941,0.995014154,0.951716207,0.978379335,0.936664013,0.987570771
ACO2,0.9982661,0.999830149,0.997356688,0.987254069,0.99608988,0.999946921,0.998328025,0.990950106
ACOT11,0.990838641,0.988605803,0.971365888,0.928547417,0.995550248,0.986473815,0.997071833,0.978379335
ACOT12,0.793956122,0.889600142,0.848772116,0.833646497,0.814295824,0.88111288,0.823770347,0.769161359
ACOT13,0.85878627,0.922615004,0.793949045,0.777733546,0.86665782,0.963039632,0.822726469,0.963101557
ACOT4,0.62487615,0.694699222,0.695083156,0.753158174,0.686049186,0.694298478,0.72316879,0.703021054
ACOT6,0.766454352,0.852864473,0.726050955,0.517712314,0.866348195,0.969630219,0.877353149,0.84116242
ACOT7,0.955226469,0.988446568,0.950385704,0.962565464,0.952680467,0.981537509,0.932820241,0.953666844
ACOT8,0.923361642,0.698904812,0.703777424,0.715237084,0.965994338,0.768174982,0.804011854,0.751835633
ACOT9,0.942664544,0.980527247,0.971482661,0.769341826,0.962818471,0.995886412,0.984253362,0.848407643
ACOX1,0.809971691,0.899513447,0.799221515,0.797190375,0.898248408,0.929091472,0.875225584,0.907081564
ACOX2,0.913680113,0.977508846,0.989762916,0.964731069,0.944435598,0.980042463,0.99891189,0.948363411
ACOX3,0.87381104,0.682176221,0.721638358,0.597038217,0.945691791,0.870550248,0.815162774,0.794683298
ACP1,0.631673744,0.56636058,0.632618542,0.629722222,0.758678344,0.601623319,0.59903574,0.550950991
ACP2,0.940909413,0.933478415,0.948940198,0.944824841,0.935350318,0.927459306,0.985005308,0.962287686
ACP5,0.47042109,0.620362703,0.601493277,0.646346426,0.619718684,0.86386235,0.894683298,0.868842887
ACP6,0.878216561,0.799187898,0.779340057,0.76767339,0.956068648,0.940375088,0.907793701,0.825309625
ACPP,0.840357396,0.801477353,0.773729653,0.604094126,0.882891012,0.825902335,0.705577672,0.482324841
ACR,0.57905874,0.633556263,0.674860226,0.7385138,0.557492923,0.547969745,0.796443737,0.693329795
ACRBP,0.753938429,0.695422859,0.618926044,0.512724699,0.855944798,0.70563075,0.579467445,0.382749469
ACRV1,0.757993631,0.718239561,0.69371373,0.724499292,0.826309271,0.775747523,0.832891012,0.822823779
ACSBG1,0.99962845,0.897278839,0.818151097,0.505146851,0.999619604,0.930997877,0.867710545,0.45403397
ACSBG2,0.672147912,0.703269639,0.774952229,0.831618896,0.782077141,0.840153928,0.747722045,0.936128804
ACSF2,0.990994338,0.938864119,0.963343949,0.721470276,0.98665959,0.91936925,0.965012385,0.622032024
ACSL1,0.993404105,0.992908705,0.985730715,0.891319887,0.992887473,0.999283439,0.994497523,0.988729653
ACSL3,0.995838641,0.98383581,0.993793347,0.993167021,0.999787686,0.999699222,0.999884996,0.999761146
ACSL4,0.666992215,0.96457891,0.976012031,0.868071479,0.780263623,0.986460545,0.999221515,0.997452229
ACSL5,0.884968153,0.875405166,0.787712314,0.705605096,0.941710899,0.988039632,0.962022293,0.921527778
ACSL6,0.996383581,0.999907997,0.998025478,0.95118896,0.999460368,1,0.999955768,0.948159943
ACSM4,0.711539278,0.675973107,0.715681175,0.678443029,0.771824133,0.6802592,0.86128804,0.815967799
ACSS1,0.999168436,0.859194975,0.790695329,0.555083156,0.999088818,0.936372081,0.848633227,0.621850672
ACSS2,0.828821656,0.978696037,0.983067941,0.984313517,0.933076787,0.997925513,0.987221338,0.993966737
ACSS3,0.988343949,0.905003539,0.920249469,0.791383581,0.992392074,0.999044586,0.999194975,0.980122081
ACTA1,0.801174805,0.742034678,0.687307148,0.641079264,0.810288393,0.70784678,0.639357749,0.542082449
ACTA2,0.697179759,0.97084041,0.992968861,0.95705414,0.746541047,0.987057679,0.997753008,0.993630573
ACTB,0.732310686,0.672084218,0.709803609,0.917045294,0.808271408,0.776530432,0.851977176,0.992197452
ACTC1,0.877841472,0.620856334,0.722694621,0.739810686,0.956838287,0.802277955,0.890419321,0.894373673
ACTG2,0.555548478,0.447889243,0.585279547,0.662521231,0.552255839,0.359456829,0.553980892,0.425805025
ACTL10,0.37170913,0.410210545,0.477443383,0.513225407,0.304396674,0.082293878,0.329524947,0.450340587
ACTL6A,0.804221515,0.914295824,0.893062633,0.767050602,0.921142958,0.996470276,0.991472045,0.841569356
ACTL6B,0.99972753,0.900606865,0.790175159,0.768851734,0.999920382,0.924654989,0.787774239,0.92537155
ACTL7B,0.516673744,0.557216914,0.496036801,0.603250177,0.461226115,0.695284855,0.502645081,0.672160297
ACTN1,0.999497523,0.999433829,0.995599788,0.989886766,0.999177282,0.999814225,0.999920382,0.997478769
ACTN2,0.943209483,0.948287332,0.986167728,0.968945506,0.994568294,0.982068294,0.998690729,0.999371904
ACTN3,0.616875442,0.623347488,0.71388535,0.604902689,0.620143312,0.718086518,0.726848903,0.519873496
ACTN4,0.992717622,0.994957537,0.840192852,0.65497523,0.995992569,0.994656759,0.941140304,0.789145435
ACTR10,0.791988677,0.855475938,0.774136589,0.884800071,0.790366242,0.942732661,0.88138712,0.932793701
ACTR1A,0.930162774,0.754021585,0.773823425,0.848098018,0.9259908,0.824336518,0.780471515,0.949601911
ACTR1B,0.95987615,0.978126327,0.899251592,0.949394904,0.911341118,0.994895612,0.998213022,0.989574487
ACTR2,0.992827318,0.994444444,0.993336872,0.99653574,0.995559094,0.999769993,0.998195329,0.999938075
ACTR3,0.989483369,0.997717622,0.931548125,0.853703114,0.993940198,0.999363057,0.910257431,0.699486907
ACTR3B,0.963046709,0.969541755,0.861650743,0.934127742,0.984315287,0.995621019,0.975269816,0.997558386
ACTR5,0.988938429,0.780178698,0.942273531,0.847586695,0.988128096,0.81346426,0.971656051,0.916224345
ACTR6,0.890640481,0.786815287,0.842438075,0.845153928,0.92720276,0.795696214,0.86457891,0.79030874
ACTR8,0.780003539,0.7357431,0.742832626,0.743839349,0.833448337,0.762769816,0.803587226,0.665052194
ACTRT3,0.613471338,0.611045648,0.750985492,0.754773531,0.669895612,0.61506104,0.769922151,0.795784678
ACVR1,0.996794055,1,0.999996461,0.999936306,0.99792109,1,1,1
ACVR1B,0.988496108,0.999631989,0.993202406,0.981599434,0.998522647,0.999716914,0.998920736,0.998903043
ACVR1C,0.984805379,0.988152866,0.98440552,0.965056617,0.989552371,0.996549894,0.980511323,0.915162774
ACVR2A,0.999837226,0.999815994,0.999939844,0.999992923,0.999955768,0.999681529,1,1
ACVR2B,0.983627035,0.993975584,0.978236023,0.966433121,0.998036093,0.98689402,0.962163836,0.997487615
ACVRL1,0.991334041,0.87643666,0.856328733,0.508526185,0.994435598,0.965582979,0.946664897,0.55268489
ACY3,0.98940552,0.923374027,0.771042109,0.72061925,0.992710545,0.901366773,0.680966914,0.669692144
ACYP1,0.754101203,0.85094126,0.781383581,0.724739915,0.799469214,0.900066348,0.84326787,0.863694268
ACYP2,0.982024062,0.984757608,0.999348903,0.999858457,0.997514154,0.996788747,0.999982307,1
ADA,0.682292994,0.558543878,0.449286978,0.457579618,0.80490092,0.731780786,0.748261677,0.728454529
ADAD1,0.447611465,0.507990092,0.465582095,0.500638712,0.33886235,0.442215145,0.339720453,0.256705591
ADAL,0.879140127,0.911185421,0.954639066,0.826325195,0.910429936,0.927193914,0.944771762,0.773328025
ADAM10,0.999897381,1,0.999915074,0.991397735,0.999946921,1,1,0.99103857
ADAM11,0.999794763,0.997891012,0.992611465,0.97905874,0.999973461,0.997381458,0.99962845,0.976380042
ADAM12,0.967671621,0.978023708,0.889437367,0.913535032,0.944577141,0.977507962,0.922761854,0.9007431
ADAM15,0.934929229,0.934520524,0.943046709,0.88413482,0.940835103,0.991250885,0.989269285,0.95195506
ADAM17,0.98507431,0.998220099,0.842859165,0.911926752,0.991887827,0.9997523,0.985615711,0.949327672
ADAM19,0.903987969,0.974762916,0.980171621,0.971886058,0.952131989,0.990702406,0.988313871,0.964136589
ADAM21,0.649041047,0.599488677,0.568503185,0.492073602,0.77621196,0.770629866,0.741321656,0.67780874
ADAM22,0.98957891,0.999147205,0.999688606,0.997016985,0.991631281,0.999991154,0.999991154,0.997726469
ADAM23,0.996790517,0.974332979,0.924062279,0.946365888,0.997806086,0.975942144,0.986119958,0.9995046
ADAM28,0.881896674,0.964693914,0.953319179,0.90386235,0.941595895,0.956944444,0.945603326,0.825716561
ADAM32,0.770375088,0.785460014,0.764433829,0.787825548,0.899663836,0.844581564,0.81104034,0.851481776
ADAM33,0.930944798,0.901595895,0.735709483,0.850796178,0.973257254,0.898319179,0.806555202,0.924654989
ADAM7,0.999798301,0.975214084,0.993029016,0.993421798,0.999778839,0.968506723,0.995479476,0.997558386
ADAM8,0.945651097,0.821383581,0.830691791,0.841525124,0.914118896,0.709142781,0.618042286,0.893825195
ADAM9,0.929830149,0.912926398,0.932793701,0.972763623,0.951592357,0.977817587,0.996523355,0.999194975
ADAMDEC1,0.940265393,0.894904459,0.741932059,0.71794586,0.968807502,0.924827495,0.80012385,0.536314579
ADAMTS1,0.989646143,0.998285563,0.989508139,0.9290092,0.991127035,0.997859165,0.99410828,0.948124558
ADAMTS10,0.987954706,0.997671621,0.978536801,0.975810333,0.983634112,0.99509908,0.955219391,0.952468153
ADAMTS12,0.718234253,0.643752654,0.552131989,0.68047063,0.642622081,0.564052548,0.301105803,0.396280078
ADAMTS13,0.671532201,0.662254069,0.702501769,0.698018401,0.813508493,0.770231776,0.730321125,0.738703114
ADAMTS14,0.755201699,0.780849257,0.744573602,0.866447275,0.845567941,0.886792286,0.844426752,0.935368011
ADAMTS15,0.853701345,0.888018401,0.969341826,0.983918967,0.89987615,0.975681175,0.999203822,0.990932413
ADAMTS16,0.922388535,0.844782378,0.737084218,0.726832979,0.911394197,0.772996285,0.64829264,0.807621196
ADAMTS17,0.92668436,0.968634112,0.925189314,0.879460368,0.959456829,0.985235315,0.951618896,0.992843241
ADAMTS19,0.941397735,0.843163482,0.830859873,0.940897028,0.946771054,0.847739738,0.897107219,0.981922328
ADAMTS2,0.968616419,0.997087757,0.998147558,0.983917197,0.985199929,0.995214084,0.995554671,0.99165782
ADAMTS20,0.724762916,0.789915074,0.778795117,0.682515924,0.817728238,0.90502477,0.888535032,0.638623496
ADAMTS3,0.995095541,0.940042463,0.924403751,0.913949045,0.994541755,0.981121727,0.940423744,0.893727884
ADAMTS4,0.997108988,0.899301132,0.735930644,0.327020524,0.996762208,0.942799009,0.796470276,0.410527247
ADAMTS5,0.999731069,0.989180821,0.99153574,0.919221515,0.999955768,0.99731511,0.999920382,0.998443029
ADAMTS6,0.891493277,0.891174805,0.773451875,0.777600849,0.9107661,0.956900212,0.940016808,0.871204883
ADAMTS8,0.99146143,0.870884643,0.873598726,0.8160138,0.990207006,0.929325902,0.910301663,0.775035386
ADAMTS9,0.792604388,0.889686837,0.915615711,0.731132343,0.825053079,0.858129866,0.812075372,0.491808209
ADAMTSL1,0.958053786,0.925084926,0.969078202,0.855874027,0.964225053,0.903525301,0.974584218,0.952768931
ADAMTSL2,0.983595188,0.998719038,0.995704176,0.952232838,0.982121373,0.998832272,0.999911536,0.955542286
ADAMTSL3,0.79064402,0.892027601,0.956401274,0.944807148,0.84841649,0.946072187,0.994780609,0.989746992
ADAMTSL4,0.842512385,0.706986907,0.730780255,0.389509908,0.924115357,0.921510085,0.974840764,0.692697275
ADAMTSL5,0.863209483,0.791641897,0.766245577,0.605831564,0.881705591,0.822558386,0.821832979,0.685580326
ADAP1,0.904447983,0.944099434,0.940153928,0.731020878,0.935704176,0.999265747,0.999327672,0.916184536
ADAP2,0.95836518,0.874538217,0.827733546,0.682685775,0.981466737,0.964614296,0.950442321,0.873969391
ADAR,0.876365888,0.924688606,0.736790517,0.653336872,0.928768577,0.963039632,0.861181883,0.757572541
ADARB1,0.982710545,0.99846603,0.98368719,0.823892427,0.983669498,0.997182413,0.964003892,0.785350318
ADARB2,1,0.993004246,0.992478769,0.995120311,1,0.998151097,0.998345718,0.997169144
ADAT2,0.898354565,0.983987969,0.900748408,0.797250531,0.916498585,0.986181883,0.830099965,0.7132431
ADCK1,0.982682236,0.998651805,0.984389597,0.927140835,0.993851734,0.999265747,0.99962845,0.921182767
ADCK2,0.923864119,0.815670559,0.827073602,0.792197452,0.953096249,0.860213199,0.849893843,0.851477353
ADCK5,0.976967445,0.869350672,0.884117127,0.824930998,0.98604034,0.914835456,0.928436837,0.948350142
ADCY1,0.999971691,0.987185067,0.996259731,0.998113942,1,0.999867304,0.999026893,0.99584218
ADCY10,0.94106511,0.918328025,0.913427105,0.840960722,0.957784855,0.896651628,0.981095188,0.821129689
ADCY2,0.999989384,0.999996461,0.999472753,0.999939844,1,0.999991154,0.999982307,1
ADCY3,0.979122435,0.972586695,0.996507431,0.994361288,0.972593772,0.991883404,0.998221868,0.992299186
ADCY4,0.992653928,0.674647912,0.544968153,0.36759908,0.994568294,0.692250531,0.594289632,0.223655343
ADCY5,0.99943029,0.999968153,0.999557679,0.982089526,1,0.999964614,0.999849611,0.995682944
ADCY6,0.99970276,0.998273178,0.997271762,0.865695329,0.999973461,0.999955768,0.99891189,0.961230538
ADCY8,0.990513093,0.989226822,0.998913659,0.99957891,0.990295471,0.98540782,0.999911536,0.999734607
