gene,expressed_in_human_nhp,No_variability_within_classes,Div_in_ExN,Div_in_InN,Div_in_NonN,Div_in_atleast1class,human_mammal_adj_pval,human_vert_adj_pval,Div_in_bulk,Divergence_category
SLC6A6,1,FALSE,0,0,0,0,1,1,0,NA
SLC6A7,1,FALSE,0,0,0,0,0.590195007,1,0,NA
SLC6A8,1,FALSE,0,0,0,0,0.424897745,1,0,NA
SLC6A9,1,FALSE,0,0,0,0,1,1,0,NA
SLC7A1,1,FALSE,0,0,0,0,1,1,0,NA
SLC7A10,1,FALSE,1,1,0,1,0.075484368,1,0,Diverged_in_single-cell
SLC7A11,1,FALSE,0,0,0,0,0.957380183,1,0,NA
SLC7A13,0,FALSE,0,0,1,1,0.109279965,0.005352125,0,NA
SLC7A14,1,FALSE,0,0,0,0,1,1,0,NA
SLC7A2,1,FALSE,0,0,0,0,1,1,0,NA
SLC7A3,1,FALSE,0,0,0,0,1,1,0,NA
SLC7A4,1,FALSE,0,0,0,0,1,1,0,NA
SLC7A7,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
SLC7A8,1,FALSE,0,0,0,0,1,1,0,NA
SLC7A9,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
SLC8A1,1,FALSE,0,0,0,0,1,1,0,NA
SLC8A2,1,FALSE,0,0,0,0,1,1,0,NA
SLC8A3,1,FALSE,0,0,0,0,1,1,0,NA
SLC8B1,1,FALSE,0,0,0,0,0.20525847,1,0,NA
SLC9A1,1,FALSE,0,0,0,0,1,1,0,NA
SLC9A2,1,FALSE,0,0,0,0,0.489824522,1,0,NA
SLC9A3,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
SLC9A3R1,1,FALSE,0,0,0,0,1,1,0,NA
SLC9A4,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
SLC9A6,1,FALSE,0,0,1,1,0.542691725,1,0,Diverged_in_single-cell
SLC9A7,1,FALSE,0,0,0,0,0.832166613,1,0,NA
SLC9A8,1,FALSE,0,0,0,0,0.476763929,1,0,NA
SLC9A9,1,FALSE,0,0,0,0,1,1,0,NA
SLC9B1,1,FALSE,0,0,0,0,1,1,0,NA
SLC9B2,1,FALSE,0,0,0,0,1,1,0,NA
SLCO1B3,0,FALSE,0,0,1,1,0.000569056,0.208432699,0,NA
SLCO1C1,1,FALSE,0,0,0,0,1,1,0,NA
SLCO2A1,1,FALSE,0,0,0,0,1,1,0,NA
SLCO2B1,1,FALSE,0,0,0,0,0.766071709,1,0,NA
SLCO3A1,1,FALSE,0,0,0,0,1,1,0,NA
SLCO4A1,1,FALSE,0,0,0,0,1,1,0,NA
SLCO4C1,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
SLCO5A1,1,FALSE,0,0,0,0,0.076404391,1,0,NA
SLCO6A1,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
SLFN11,0,FALSE,1,0,0,1,NA,NA,0,NA
SLFN5,1,FALSE,0,0,0,0,NA,NA,0,NA
SLFNL1,1,FALSE,1,0,0,1,NA,NA,0,Diverged_in_single-cell
SLIRP,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
SLIT1,1,FALSE,0,0,0,0,0.459588879,1,0,NA
SLIT2,1,FALSE,0,0,0,0,0.100089264,1,0,NA
SLIT3,1,FALSE,0,0,0,0,1,1,0,NA
SLITRK1,1,FALSE,0,0,0,0,1,1,0,NA
SLITRK2,1,FALSE,0,0,0,0,1,1,0,NA
SLITRK3,1,FALSE,0,0,0,0,0.92289343,1,0,NA
SLITRK4,1,FALSE,0,0,0,0,0.000550066,0.011240625,1,Diverged_in_bulk
SLITRK5,1,FALSE,0,0,0,0,0.022193315,1,0,NA
SLITRK6,0,FALSE,0,0,0,0,1,1,0,NA
SLK,1,FALSE,0,0,0,0,1,1,0,NA
SLMAP,1,FALSE,0,0,0,0,0.662777204,1,0,NA
SLN,0,FALSE,0,1,1,1,NA,NA,0,NA
SLPI,0,TRUE,0,1,0,1,NA,NA,0,NA
SLTM,1,FALSE,0,0,0,0,0.151946191,1,0,NA
SLU7,1,FALSE,0,0,0,0,1,1,0,NA
SLX4IP,1,FALSE,0,0,0,0,1,1,0,NA
SMAD1,1,FALSE,0,0,0,0,0.134491194,1,0,NA
SMAD2,1,FALSE,0,0,0,0,0.640819941,1,0,NA
SMAD3,1,FALSE,0,0,0,0,1,1,0,NA
SMAD4,1,FALSE,0,0,0,0,0.080897214,1,0,NA
SMAD5,1,FALSE,0,0,0,0,1,1,0,NA
SMAD6,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
SMAD7,1,FALSE,0,0,0,0,1,1,0,NA
SMAD9,1,FALSE,0,0,0,0,0.029800211,1,0,NA
SMAGP,1,FALSE,0,0,0,0,0.026357171,1,0,NA
SMAP1,1,FALSE,0,0,0,0,1,1,0,NA
SMAP2,1,FALSE,0,0,0,0,1,1,0,NA
SMARCA1,1,FALSE,0,0,0,0,0.927821766,1,0,NA
