gene,expressed_in_human_nhp,No_variability_within_classes,Div_in_ExN,Div_in_InN,Div_in_NonN,Div_in_atleast1class,human_mammal_adj_pval,human_vert_adj_pval,Div_in_bulk,Divergence_category
A1BG,0,FALSE,0,0,1,1,0.005523688,0.783776345,0,NA
A1CF,0,FALSE,0,0,1,1,0.001180312,0.178497239,0,NA
A2ML1,1,FALSE,0,0,0,0,1,1,0,NA
A3GALT2,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
A4GALT,1,TRUE,1,0,0,1,1,1,0,NA
A4GNT,0,FALSE,1,0,1,1,0.049003618,1,0,NA
AAAS,1,FALSE,1,0,0,1,0.334190074,1,0,Diverged_in_single-cell
AACS,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
AADACL2,0,FALSE,1,0,0,1,0.806368642,1,0,NA
AADACL3,0,TRUE,0,0,0,0,1,1,0,NA
AADACL4,0,FALSE,1,1,0,1,1,1,0,NA
AADAT,1,FALSE,0,0,0,0,0.42992921,1,0,NA
AAGAB,1,FALSE,0,0,0,0,1,1,0,NA
AAK1,1,FALSE,0,0,0,0,1,1,0,NA
AAMDC,1,FALSE,0,0,0,0,4.53E-05,1,0,NA
AAMP,1,FALSE,1,0,1,1,0.927821766,1,0,Diverged_in_single-cell
AANAT,0,FALSE,0,0,0,0,1,1,0,NA
AAR2,1,FALSE,0,0,0,0,1,1,0,NA
AARD,0,FALSE,0,0,0,0,0.20411887,1,0,NA
AARS2,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
AASDH,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
AASDHPPT,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
AASS,1,FALSE,0,0,0,0,0.228393506,1,0,NA
AATF,1,FALSE,0,0,0,0,7.97E-05,0.000439149,1,Diverged_in_bulk
AATK,1,FALSE,0,0,0,0,1,1,0,NA
ABCA1,1,FALSE,0,0,0,0,1,1,0,NA
ABCA10,1,FALSE,0,0,0,0,0.016924066,1,0,NA
ABCA12,1,FALSE,0,0,0,0,0.922019848,1,0,NA
ABCA13,1,FALSE,0,0,0,0,1,1,0,NA
ABCA2,1,FALSE,0,0,0,0,1,1,0,NA
ABCA4,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
ABCA5,1,FALSE,0,0,0,0,1,1,0,NA
ABCA6,1,FALSE,0,0,0,0,1,1,0,NA
ABCA7,1,FALSE,0,0,0,0,1,1,0,NA
ABCA8,1,FALSE,0,1,0,1,1,1,0,Diverged_in_single-cell
ABCB1,1,FALSE,0,0,0,0,1,1,0,NA
ABCB10,1,FALSE,0,0,0,0,0.609691044,1,0,NA
ABCB11,0,FALSE,0,0,0,0,0.002181811,0.004662867,1,NA
ABCB4,1,FALSE,0,0,0,0,0.026492932,1,0,NA
ABCB5,1,FALSE,1,0,0,1,0.000856265,0.23332607,0,Diverged_in_single-cell
ABCB6,1,FALSE,0,1,0,1,5.44E-06,1,0,Diverged_in_single-cell
ABCB7,1,FALSE,0,0,0,0,0.703391263,1,0,NA
ABCB8,1,FALSE,0,0,0,0,0.50921314,1,0,NA
ABCB9,1,FALSE,0,0,0,0,1,1,0,NA
ABCC10,1,FALSE,1,0,1,1,0.3702006,1,0,Diverged_in_single-cell
ABCC2,1,FALSE,0,0,1,1,0.85164609,1,0,Diverged_in_single-cell
ABCC3,1,FALSE,0,0,0,0,1,1,0,NA
ABCC4,1,FALSE,0,0,0,0,1,1,0,NA
ABCC5,1,FALSE,0,0,0,0,1,1,0,NA
ABCC8,1,FALSE,0,0,0,0,1,1,0,NA
ABCD1,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
ABCD2,1,FALSE,0,0,0,0,1,1,0,NA
ABCD3,1,FALSE,0,0,0,0,1,1,0,NA
ABCD4,1,FALSE,0,0,0,0,1,1,0,NA
ABCE1,1,FALSE,0,0,0,0,1,1,0,NA
ABCF1,1,FALSE,1,0,0,1,1.79E-05,0.000131949,1,Diverged_in_both
ABCF2,1,FALSE,0,0,0,0,0.006627974,1,0,NA
ABCF3,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
ABCG1,1,FALSE,0,0,0,0,1,1,0,NA
ABCG2,1,FALSE,0,0,0,0,1,1,0,NA
ABCG4,1,FALSE,0,0,0,0,1,1,0,NA
ABCG5,1,FALSE,0,0,0,0,0.046356051,1,0,NA
ABCG8,1,FALSE,0,0,1,1,0.000789569,0.000122904,1,Diverged_in_both
ABHD1,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
ABHD10,1,FALSE,0,0,0,0,1,1,0,NA
ABHD11,1,FALSE,0,0,0,0,1,1,0,NA
ABHD12,1,FALSE,0,0,0,0,0.242940337,1,0,NA
ABHD12B,1,FALSE,0,0,0,0,1,1,0,NA
ABHD13,1,FALSE,0,0,0,0,1,1,0,NA
ABHD14B,1,FALSE,0,0,0,0,0.052092396,1,0,NA
ABHD15,1,FALSE,0,0,0,0,0.714660781,1,0,NA
ABHD16A,1,FALSE,0,1,0,1,8.26E-06,0.000815561,1,Diverged_in_both
ABHD17A,1,FALSE,0,0,0,0,0.61592404,1,0,NA
ABHD17B,1,FALSE,0,0,0,0,1,1,0,NA
ABHD17C,1,FALSE,0,0,0,0,1,1,0,NA
ABHD2,1,FALSE,0,0,0,0,1,1,0,NA
ABHD3,1,FALSE,0,0,0,0,0.832166613,1,0,NA
ABHD4,1,FALSE,0,0,0,0,1,1,0,NA
ABHD5,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
ABHD6,1,FALSE,0,0,0,0,1,1,0,NA
ABHD8,1,FALSE,0,0,0,0,0.989498431,1,0,NA
ABI1,1,FALSE,0,0,0,0,1,1,0,NA
ABI2,1,FALSE,0,0,0,0,0.23774664,1,0,NA
ABI3,1,FALSE,0,0,0,0,0.496539244,1,0,NA
ABI3BP,1,FALSE,0,0,0,0,9.73E-05,0.019338693,1,Diverged_in_bulk
ABL1,1,FALSE,0,0,0,0,0.900169844,1,0,NA
ABL2,1,FALSE,0,0,0,0,1,1,0,NA
ABLIM1,1,FALSE,0,0,0,0,1,1,0,NA
ABLIM2,1,FALSE,0,0,0,0,0.654911049,1,0,NA
ABLIM3,1,FALSE,0,0,0,0,0.859108165,1,0,NA
ABO,1,FALSE,0,0,0,0,1,1,0,NA
ABR,1,FALSE,0,0,0,0,0.036509711,1,0,NA
ABRA,1,FALSE,0,0,0,0,0.260337341,1,0,NA
ABRACL,1,FALSE,0,0,1,1,0.502229605,1,0,Diverged_in_single-cell
ABT1,1,FALSE,0,1,0,1,0.968844622,1,0,Diverged_in_single-cell
ABTB1,1,FALSE,0,0,0,0,1,1,0,NA
ABTB2,1,FALSE,0,0,0,0,1,1,0,NA
ACAA1,1,FALSE,0,0,0,0,0.48365029,1,0,NA
ACAA2,1,FALSE,0,0,0,0,0.536803461,1,0,NA
ACACA,1,FALSE,0,0,0,0,0.218648074,1,0,NA
ACACB,1,FALSE,0,0,0,0,1,1,0,NA
ACAD10,1,FALSE,0,0,0,0,0.756401031,1,0,NA
ACAD11,1,FALSE,1,1,1,1,8.28E-06,2.49E-06,1,Diverged_in_both
ACAD8,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
ACAD9,1,FALSE,0,0,0,0,1,1,0,NA
ACADL,1,FALSE,0,0,0,0,0.004544333,0.046740814,1,Diverged_in_bulk
ACADM,1,FALSE,0,0,1,1,0.667600337,1,0,Diverged_in_single-cell
ACADS,1,FALSE,0,0,0,0,1,1,0,NA
ACADSB,1,FALSE,0,0,0,0,0.321843164,1,0,NA
ACADVL,1,FALSE,0,0,0,0,0.018547862,1,0,NA
ACAN,1,FALSE,0,0,0,0,0.766071709,1,0,NA
ACAP1,1,FALSE,0,0,0,0,0.811221094,1,0,NA
ACAP2,1,FALSE,0,0,0,0,0.976980368,1,0,NA
ACAP3,1,FALSE,0,0,0,0,0.520387026,1,0,NA
ACAT1,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
ACAT2,1,FALSE,0,0,0,0,0.676836813,1,0,NA
ACBD3,1,FALSE,0,0,0,0,0.345642289,1,0,NA
ACBD4,1,FALSE,0,0,0,0,0.029107829,1,0,NA
ACBD5,1,FALSE,0,0,0,0,0.554410051,1,0,NA
ACBD6,1,FALSE,0,0,0,0,0.38937398,1,0,NA
ACBD7,1,FALSE,0,1,0,1,0.27700267,1,0,Diverged_in_single-cell
ACCS,1,FALSE,0,0,0,0,1,1,0,NA
ACCSL,1,FALSE,0,0,1,1,0.96487181,1,0,Diverged_in_single-cell
ACE,1,FALSE,0,0,0,0,0.27700267,1,0,NA
ACE2,0,FALSE,0,1,0,1,0.184697766,1,0,NA
ACER1,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
ACER2,1,FALSE,0,0,0,0,1,1,0,NA
ACER3,1,FALSE,0,0,0,0,1,1,0,NA
ACHE,1,FALSE,0,0,0,0,0.087344972,1,0,NA
ACIN1,1,FALSE,0,1,0,1,0.697158799,1,0,Diverged_in_single-cell
ACKR1,1,FALSE,0,0,0,0,NA,NA,0,NA
ACKR2,1,FALSE,0,1,0,1,0.001235145,0.001915588,1,Diverged_in_both
ACKR3,1,FALSE,0,0,0,0,0.048157678,1,0,NA
ACKR4,1,FALSE,0,0,0,0,0.096241555,0.513309025,0,NA
ACLY,1,FALSE,0,0,0,0,0.074327509,1,0,NA
ACMSD,1,FALSE,1,0,1,1,1.07E-05,5.79E-05,1,Diverged_in_both
ACO1,1,FALSE,0,0,0,0,0.027509586,1,0,NA
ACO2,1,FALSE,0,0,0,0,1,1,0,NA
ACOT11,1,FALSE,0,1,0,1,1,1,0,Diverged_in_single-cell
ACOT12,1,FALSE,0,0,0,0,1,1,0,NA
ACOT13,1,FALSE,0,0,0,0,2.81E-05,0.054222922,0,NA
ACOT4,0,FALSE,1,0,0,1,1,1,0,NA
ACOT6,1,FALSE,0,0,0,0,0.468935037,1,0,NA
ACOT7,1,FALSE,0,0,0,0,1,1,0,NA
ACOT8,1,FALSE,1,0,1,1,0.162858236,1,0,Diverged_in_single-cell
ACOT9,1,FALSE,0,0,0,0,1,1,0,NA
ACOX1,1,FALSE,0,0,0,0,0.042304141,1,0,NA
ACOX2,1,FALSE,0,0,0,0,0.847792535,1,0,NA
ACOX3,1,FALSE,1,0,1,1,0.210572053,1,0,Diverged_in_single-cell
ACP1,1,FALSE,0,0,1,1,0.83986679,1,0,Diverged_in_single-cell
ACP2,1,FALSE,0,0,0,0,0.483617121,1,0,NA
ACP5,0,FALSE,0,0,1,1,1,1,0,NA
ACP6,1,FALSE,0,0,0,0,0.002543801,1,0,NA
ACPP,1,FALSE,1,0,0,1,NA,NA,0,Diverged_in_single-cell
ACR,0,TRUE,0,0,1,1,1,1,0,NA
ACRBP,1,FALSE,0,1,0,1,NA,NA,0,Diverged_in_single-cell
ACRV1,1,FALSE,0,0,0,0,NA,NA,0,NA
ACSBG1,1,FALSE,1,0,0,1,0.613216219,1,0,Diverged_in_single-cell
ACSBG2,1,FALSE,0,1,0,1,0.048157678,1,0,Diverged_in_single-cell
ACSF2,1,FALSE,0,0,0,0,1,1,0,NA
ACSL1,1,FALSE,0,0,0,0,0.387533855,1,0,NA
ACSL3,1,FALSE,0,0,0,0,0.995401268,1,0,NA
ACSL4,1,FALSE,0,0,0,0,1,1,0,NA
ACSL5,1,FALSE,0,0,0,0,1,1,0,NA
ACSL6,1,FALSE,0,0,0,0,1,1,0,NA
ACSM4,1,FALSE,0,0,1,1,0.247262338,1,0,Diverged_in_single-cell
ACSS1,1,FALSE,0,0,0,0,0.34814572,1,0,NA
ACSS2,1,FALSE,0,0,0,0,1,1,0,NA
ACSS3,1,FALSE,0,0,0,0,0.866754878,1,0,NA
ACTA1,1,FALSE,0,1,1,1,0.001148403,0.016593061,1,Diverged_in_both
ACTA2,1,FALSE,0,0,0,0,3.47E-05,0.229005407,0,NA
ACTB,1,FALSE,0,0,0,0,0.023234341,0.017300515,1,Diverged_in_bulk
ACTC1,0,FALSE,0,0,0,0,0.029130131,0.172339021,0,NA
ACTG2,1,FALSE,1,1,0,1,0.665080594,1,0,Diverged_in_single-cell
ACTL10,0,TRUE,1,1,0,1,NA,NA,0,NA
ACTL6A,1,FALSE,0,0,0,0,1,1,0,NA
ACTL6B,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
ACTL7B,0,TRUE,0,0,0,0,NA,NA,0,NA
ACTN1,1,FALSE,0,0,0,0,1,1,0,NA
ACTN2,1,FALSE,0,0,0,0,0.802878653,1,0,NA
ACTN3,1,FALSE,0,1,0,1,1,1,0,Diverged_in_single-cell
ACTN4,1,FALSE,0,0,0,0,0.09056295,1,0,NA
ACTR10,1,FALSE,0,0,0,0,1,1,0,NA
ACTR1A,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
ACTR1B,1,FALSE,0,0,0,0,0.011091234,1,0,NA
ACTR2,1,FALSE,0,0,0,0,0.958260303,1,0,NA
ACTR3,1,FALSE,0,0,0,0,1,1,0,NA
ACTR3B,1,FALSE,0,0,0,0,0.483617121,1,0,NA
ACTR5,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
ACTR6,1,FALSE,0,1,0,1,0.282610117,1,0,Diverged_in_single-cell
ACTR8,1,FALSE,0,1,0,1,0.345642289,1,0,Diverged_in_single-cell
ACTRT3,0,FALSE,0,0,1,1,NA,NA,0,NA
ACVR1,1,FALSE,0,0,0,0,0.756401031,1,0,NA
ACVR1B,1,FALSE,0,0,0,0,1,1,0,NA
ACVR1C,1,FALSE,0,0,0,0,1,1,0,NA
ACVR2A,1,FALSE,0,0,0,0,1,1,0,NA
ACVR2B,1,FALSE,0,0,1,1,0.411856204,1,0,Diverged_in_single-cell
ACVRL1,1,FALSE,0,0,0,0,0.210572053,1,0,NA
ACY3,0,FALSE,1,0,0,1,1,1,0,NA
ACYP1,1,FALSE,0,0,0,0,0.007397314,0.229005407,0,NA
ACYP2,1,FALSE,0,0,0,0,0.000735003,0.850565207,0,NA
ADA,1,FALSE,0,0,0,0,1,1,0,NA
ADAD1,0,FALSE,1,1,0,1,1,1,0,NA
ADAL,1,FALSE,0,0,0,0,1,1,0,NA
ADAM10,1,FALSE,0,0,0,0,1,1,0,NA
ADAM11,1,FALSE,0,0,0,0,1,1,0,NA
ADAM12,1,FALSE,0,0,0,0,1,1,0,NA
ADAM15,1,FALSE,0,0,0,0,0.728022359,1,0,NA
ADAM17,1,FALSE,0,0,0,0,0.456037221,1,0,NA
ADAM19,1,FALSE,0,0,0,0,1,1,0,NA
ADAM21,1,FALSE,0,1,0,1,1,1,0,Diverged_in_single-cell
ADAM22,1,FALSE,0,0,0,0,1,1,0,NA
ADAM23,1,FALSE,0,0,0,0,1,1,0,NA
ADAM28,1,FALSE,0,0,0,0,1,1,0,NA
ADAM32,1,FALSE,0,0,0,0,1,1,0,NA
ADAM33,1,FALSE,0,0,0,0,1,1,0,NA
ADAM7,1,FALSE,0,0,0,0,1,1,0,NA
ADAM8,1,FALSE,1,1,0,1,1,1,0,Diverged_in_single-cell
ADAM9,1,FALSE,0,0,0,0,1,1,0,NA
ADAMDEC1,0,FALSE,0,0,1,1,1,1,0,NA
ADAMTS1,1,FALSE,0,0,0,0,0.025842643,1,0,NA
ADAMTS10,1,FALSE,0,0,0,0,1,1,0,NA
ADAMTS12,1,FALSE,1,0,1,1,1,1,0,Diverged_in_single-cell
ADAMTS13,1,FALSE,0,0,0,0,0.001352787,0.06838483,0,NA
ADAMTS14,1,FALSE,0,0,0,0,1,1,0,NA
ADAMTS15,1,FALSE,0,0,0,0,0.046088014,0.294476402,0,NA
ADAMTS16,1,FALSE,0,0,0,0,0.82628003,1,0,NA
ADAMTS17,1,FALSE,0,0,0,0,0.453334908,1,0,NA
ADAMTS19,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
ADAMTS2,1,FALSE,0,0,0,0,0.004016423,1,0,NA
ADAMTS20,1,FALSE,0,0,0,0,0.648055763,1,0,NA
ADAMTS3,1,FALSE,0,0,0,0,0.140798654,0.033603829,0,NA
ADAMTS4,0,FALSE,0,1,0,1,0.542691725,1,0,NA
ADAMTS5,1,FALSE,0,0,0,0,0.003713035,1,0,NA
ADAMTS6,1,FALSE,0,0,0,0,1,1,0,NA
ADAMTS8,1,FALSE,0,0,0,0,0.811221094,1,0,NA
ADAMTS9,1,FALSE,0,0,0,0,1,1,0,NA
ADAMTSL1,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
ADAMTSL2,1,FALSE,0,0,0,0,1,1,0,NA
ADAMTSL3,1,FALSE,0,0,0,0,0.983754639,1,0,NA
ADAMTSL4,1,FALSE,0,0,0,0,1,1,0,NA
ADAMTSL5,0,FALSE,1,0,0,1,0.017985034,1,0,NA
ADAP1,1,TRUE,0,0,0,0,1,1,0,NA
ADAP2,1,FALSE,0,0,0,0,1,1,0,NA
ADAR,1,FALSE,0,0,0,0,1,1,0,NA
ADARB1,1,FALSE,0,0,0,0,0.075028546,1,0,NA
ADARB2,1,FALSE,0,0,0,0,0.049993109,0.554008479,0,NA
ADAT2,1,FALSE,0,0,0,0,1,1,0,NA
ADCK1,1,FALSE,0,0,0,0,1,1,0,NA
ADCK2,1,FALSE,0,0,1,1,0.402881811,1,0,Diverged_in_single-cell
ADCK5,1,FALSE,0,0,1,1,1.79E-05,0.513309025,0,Diverged_in_single-cell
ADCY1,1,FALSE,0,0,0,0,0.110353342,0.18539542,0,NA
ADCY10,1,FALSE,0,0,0,0,0.742708546,1,0,NA
ADCY2,1,FALSE,0,0,0,0,0.916234512,1,0,NA
ADCY3,1,FALSE,0,0,0,0,0.066025141,1,0,NA
ADCY4,1,FALSE,1,1,0,1,8.26E-06,0.174486824,0,Diverged_in_single-cell
ADCY5,1,FALSE,0,0,0,0,0.303898426,1,0,NA
ADCY6,1,FALSE,0,0,0,0,0.162858236,1,0,NA
ADCY8,1,FALSE,0,0,0,0,1,1,0,NA
ADCYAP1,1,FALSE,0,1,0,1,0.810575593,1,0,Diverged_in_single-cell
ADCYAP1R1,1,FALSE,0,0,0,0,1,1,0,NA
ADD1,1,FALSE,0,0,0,0,1,1,0,NA
ADD2,1,FALSE,0,0,0,0,0.026895807,1,0,NA
ADD3,1,FALSE,0,0,0,0,1,1,0,NA
ADGB,1,FALSE,0,0,0,0,1,1,0,NA
ADGRA1,1,FALSE,0,0,0,0,1,1,0,NA
ADGRA2,1,FALSE,0,0,0,0,0.933712412,1,0,NA
ADGRA3,1,FALSE,0,0,0,0,0.502229605,1,0,NA
ADGRB1,1,FALSE,0,0,0,0,0.098960686,1,0,NA
ADGRB2,1,FALSE,0,0,0,0,1,1,0,NA
ADGRB3,1,FALSE,0,0,0,0,0.645162449,1,0,NA
ADGRD1,1,FALSE,0,0,0,0,0.087368147,1,0,NA
ADGRD2,0,FALSE,0,1,0,1,0.014951539,1,0,NA
ADGRE1,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
ADGRE5,1,FALSE,0,0,0,0,1,1,0,NA
ADGRF1,0,FALSE,0,1,1,1,1,1,0,NA
ADGRF2,1,FALSE,0,0,0,0,1,1,0,NA
ADGRF3,1,FALSE,0,0,0,0,1,1,0,NA
ADGRF4,0,TRUE,0,0,0,0,1,1,0,NA
ADGRG2,1,FALSE,0,0,0,0,0.006427262,0.421090986,0,NA
ADGRG4,0,FALSE,0,1,0,1,NA,NA,0,NA
ADGRG6,1,FALSE,0,0,0,0,0.016143763,1,0,NA
ADGRG7,1,FALSE,0,1,0,1,1,1,0,Diverged_in_single-cell
ADGRL1,1,FALSE,0,0,0,0,0.265130854,1,0,NA
ADGRL2,1,FALSE,0,0,0,0,1,1,0,NA
ADGRL3,1,FALSE,0,0,0,0,1,1,0,NA
ADGRL4,1,FALSE,0,1,0,1,1,1,0,Diverged_in_single-cell
ADGRV1,1,FALSE,0,0,0,0,1,1,0,NA
ADH4,0,FALSE,0,0,0,0,0.063293241,1,0,NA
ADH5,1,FALSE,0,0,0,0,0.968844622,1,0,NA
ADHFE1,1,FALSE,0,0,0,0,1,1,0,NA
ADI1,1,FALSE,0,0,0,0,0.476755591,1,0,NA
ADIG,0,FALSE,1,0,1,1,NA,NA,0,NA
ADIPOR1,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
ADIPOR2,1,FALSE,0,0,0,0,8.28E-06,2.49E-06,1,Diverged_in_bulk
ADIRF,1,FALSE,1,1,0,1,1.67E-05,1,0,Diverged_in_single-cell
ADK,1,FALSE,0,0,0,0,0.004016423,1,0,NA
ADM,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
ADM5,1,FALSE,0,1,1,1,NA,NA,0,Diverged_in_single-cell
ADNP,1,FALSE,0,0,0,0,1,1,0,NA
ADNP2,1,FALSE,0,0,0,0,1,1,0,NA
ADO,1,FALSE,0,0,0,0,1,1,0,NA
ADORA1,1,FALSE,0,0,0,0,0.771539449,1,0,NA
ADORA2A,0,TRUE,0,1,0,1,0.341829169,1,0,NA
ADORA2B,1,FALSE,0,0,0,0,0.016941852,1,0,NA
ADPGK,1,FALSE,0,0,0,0,1,1,0,NA
ADPRH,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
ADPRHL2,1,FALSE,0,0,0,0,NA,NA,0,NA
ADPRM,1,FALSE,0,0,0,0,1,1,0,NA
ADRA1A,1,FALSE,0,0,0,0,1,1,0,NA
ADRA1B,1,FALSE,0,0,0,0,1,1,0,NA
ADRA1D,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
ADRA2A,1,FALSE,0,0,0,0,1,1,0,NA
ADRA2B,0,FALSE,0,0,0,0,1,1,0,NA
ADRA2C,1,FALSE,0,0,1,1,0.888393818,1,0,Diverged_in_single-cell
ADRB1,1,FALSE,0,0,0,0,0.001244455,1,0,NA
ADRB2,1,FALSE,1,1,0,1,0.499977286,1,0,Diverged_in_single-cell
ADRM1,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
ADSL,1,FALSE,0,0,0,0,3.78E-05,0.030363313,1,Diverged_in_bulk
ADSS,1,FALSE,0,0,0,0,NA,NA,0,NA
ADSSL1,1,FALSE,0,0,0,0,NA,NA,0,NA
ADTRP,1,FALSE,0,0,1,1,0.784609555,1,0,Diverged_in_single-cell
AEBP1,1,FALSE,1,0,0,1,0.799430746,1,0,Diverged_in_single-cell
AEBP2,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
AEN,1,FALSE,0,0,0,0,1,1,0,NA
AFAP1,1,FALSE,0,0,0,0,0.873429308,1,0,NA
AFAP1L1,1,FALSE,0,0,0,0,0.000417881,1,0,NA
AFAP1L2,1,FALSE,0,0,0,0,1,1,0,NA
AFF1,1,FALSE,0,0,0,0,0.3702006,1,0,NA
AFF2,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
AFF3,1,FALSE,0,0,0,0,1,1,0,NA
AFF4,1,FALSE,0,0,0,0,1,1,0,NA
AFG3L2,1,FALSE,0,0,0,0,1,1,0,NA
AFM,0,FALSE,1,0,0,1,1,1,0,NA
AFMID,1,FALSE,0,0,0,0,1,1,0,NA
AFP,0,FALSE,0,1,1,1,1,1,0,NA
AFTPH,1,FALSE,0,0,0,0,0.476763929,1,0,NA
AGA,1,FALSE,0,0,0,0,0.6891914,1,0,NA
AGAP1,1,FALSE,0,0,0,0,0.108058304,1,0,NA
AGAP2,1,FALSE,0,0,0,0,0.718418003,1,0,NA
AGAP3,1,FALSE,0,0,0,0,0.005332682,1,0,NA
AGBL1,1,FALSE,0,0,0,0,1,1,0,NA
AGBL2,1,FALSE,0,0,0,0,0.000808014,0.103559789,0,NA
AGBL3,1,FALSE,0,0,0,0,1,1,0,NA
AGBL5,1,FALSE,0,0,0,0,0.051903237,1,0,NA
AGER,1,FALSE,0,1,0,1,0.001736647,1,0,Diverged_in_single-cell
AGFG1,1,FALSE,0,0,0,0,1,1,0,NA
AGFG2,1,FALSE,0,0,0,0,1,1,0,NA
AGGF1,1,FALSE,0,0,0,0,0.193962005,1,0,NA
AGK,1,FALSE,0,1,0,1,0.072233077,1,0,Diverged_in_single-cell
AGL,1,FALSE,0,0,0,0,0.002910337,1,0,NA
AGMAT,1,FALSE,0,0,0,0,0.499977286,0.975727836,0,NA
AGMO,1,FALSE,0,0,0,0,1,1,0,NA
AGO2,1,FALSE,0,0,0,0,1,1,0,NA
AGO4,1,FALSE,0,0,0,0,0.412565154,1,0,NA
AGPAT1,1,FALSE,0,0,0,0,1.09E-05,1,0,NA
AGPAT2,1,FALSE,0,0,0,0,0.790851181,1,0,NA
AGPAT3,1,FALSE,0,0,0,0,1,1,0,NA
AGPAT4,1,FALSE,0,0,0,0,0.149885168,1,0,NA
AGPAT5,1,FALSE,0,0,1,1,1.79E-05,1.38E-05,1,Diverged_in_both
AGPS,1,FALSE,0,0,0,0,0.588053934,1,0,NA
AGR2,0,FALSE,1,1,0,1,1,1,0,NA
AGR3,1,FALSE,0,1,1,1,1,1,0,Diverged_in_single-cell
AGRN,1,FALSE,0,0,0,0,0.927821766,1,0,NA
AGT,1,FALSE,1,0,0,1,0.756039157,1,0,Diverged_in_single-cell
AGTPBP1,1,FALSE,0,0,0,0,1,1,0,NA
AGTR1,0,FALSE,1,0,1,1,0.640395499,1,0,NA
AGTRAP,1,FALSE,0,0,1,1,0.989498431,1,0,Diverged_in_single-cell
AGXT2,0,FALSE,1,1,0,1,1,1,0,NA
AHCTF1,1,FALSE,0,0,0,0,1,1,0,NA
AHCY,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
AHCYL1,1,FALSE,0,0,0,0,1,1,0,NA
AHCYL2,1,FALSE,0,0,0,0,0.258334035,1,0,NA
AHDC1,1,FALSE,0,0,0,0,1,1,0,NA
AHI1,1,FALSE,0,0,0,0,1,1,0,NA
AHNAK,1,FALSE,0,0,0,0,1,1,0,NA
AHNAK2,1,FALSE,0,0,1,1,0.14435287,1,0,Diverged_in_single-cell
AHR,1,FALSE,0,0,0,0,0.010630402,1,0,NA
AHRR,1,FALSE,0,0,0,0,NA,NA,0,NA
AHSA1,1,FALSE,0,0,0,0,0.989498431,1,0,NA
AHSG,0,FALSE,0,0,0,0,0.026933561,0.007023341,1,NA
AIDA,1,FALSE,0,0,0,0,1,1,0,NA
AIF1,1,FALSE,0,0,0,0,0.000131914,1,0,NA
AIF1L,1,FALSE,0,0,0,0,1,1,0,NA
AIFM1,1,FALSE,0,0,0,0,0.352005493,1,0,NA
AIFM2,1,FALSE,0,0,0,0,0.002988407,0.702062846,0,NA
AIFM3,1,FALSE,0,0,0,0,0.662777204,1,0,NA
AIG1,1,FALSE,0,0,0,0,1,1,0,NA
AIM2,1,FALSE,1,0,0,1,NA,NA,0,Diverged_in_single-cell
AIMP1,1,FALSE,0,0,0,0,0.363878925,1,0,NA
AIMP2,1,FALSE,0,0,0,0,1,1,0,NA
AIP,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
AIPL1,0,FALSE,0,1,0,1,0.929981307,1,0,NA
AIRE,1,FALSE,0,0,0,0,1,1,0,NA
AJAP1,1,FALSE,0,0,0,0,0.002844977,1,0,NA
AJUBA,0,FALSE,1,0,0,1,0.933712412,1,0,NA
AK1,1,FALSE,0,0,0,0,0.00036025,0.513309025,0,NA
AK2,1,FALSE,0,0,0,0,0.18698357,1,0,NA
AK3,1,FALSE,0,0,0,0,0.911484782,1,0,NA
AK4,1,FALSE,0,0,0,0,1,1,0,NA
AK5,1,FALSE,0,0,0,0,0.151946191,1,0,NA
AK6,1,FALSE,0,1,0,1,8.28E-06,3.69E-05,1,Diverged_in_both
